event, men_a, men_b, women_a, women_b
50 Freestyle, 00:19.18, 00:20.19, 00:21.86, 00:22.99
100 Freestyle, 00:42.37, 00:44.29, 00:47.79, 00:49.99
200 Freestyle, 01:33.34, 1:37.99, 1:43.82, 1:48.99
500 Freestyle, 04:13.60, 4:24.99, 4:36.30, 4:47.79
1650 Freestyle, 14:45.04, 15:30.39, 15:53.50, 16:30.59
100 Butterfly, 00:45.85, 00:48.29, 00:51.56, 00:54.49
200 Butterfly, 01:42.43, 1:47.99, 1:54.22, 1:59.59
100 Backstroke, 00:45.44, 00:48.49, 00:51.51, 00:54.49
200 Backstroke, 01:40.33, 1:46.39, 1:51.95, 1:59.19
100 Breaststroke, 00:52.08, 00:55.39, 00:59.04, 1:02.49